af469d 910
af46a3 10
af46c9 988 
af46e9 AF0 
af4709 B04 
af4729 B18 
af4749 B30 

// TODO: Figure out what [mhfo-hd.dll + 0xaf475a] is doing

af4772 B34 

// TODO: Same deal with [mhfo-hd.dll + 0xaf4783]

af4794 B5C 

af47af E8 
af47b5 E4 
af47c9 4C 
af47cc 34 
af47cf 38 
af47d2 3c 
af47d5 40 
af47d8 44 
af47db B48 
af47e1 48 

// TODO: Another loop at [mhfo-hd.dll + 0xaf47f6]

af480f 50
af482e 64
af4852 54
af4871 68
af4893 58
af48b2 6C
af48d4 5C
af48fd 70
af4922 60
af4941 74
af4963 78
af49a6 7C
af49cd 88
af49d3 8c
af4a34 80
af4a5d 84
af4a63 90
af4ac4 94
af4b16 98
af4b80 9C
af4bc6 C4
af4bf5 C8
af4bfb CC

// TODO: Something funky at [mhfo-hd.dll + 0xaf4c01]

af4cc5 D8
af4cd1 D0
af4cd7 D4
af4d08 E0
af4d14 DC
af4d2d EC
af4d58 F0
af4d7b F4
af4da3 100
af4da9 234
af4daf F8
af4db5 FC
af4de0 110
af4dec 104
af4df2 108
af4df8 10C
af4e0f 118
af4e1b 114
af4e3a 11C
af4e5a 120
af4e82 124
af4eb8 12C
af4ec1 128
af4ef0 A40
af4f23 130

// Interesting malloc at [mhfo-hd.dll + 0xaf4f29]

af4fc1 134
af4ff0 138
af5038 A0
af503e A4
af5044 A8
af504a AC
af5073 B0
af5079 B4
af507f B8
af5085 BC
af508b C0

// Really funky code at [mhfo-hd.dll + 0xaf5091]

af5145 13C
af5177 144
af517d 140
af51b6 148
af51e0 150
af51ec 14C
af5214 158
af521a 154
af5261 15C
af5298 160
af52ba 168
af52c0 164
af52f3 16C
af530c 8FC
af5397 180
af53c0 184
af53f0 188
af5421 18C
af5427 190
af542d 194
af5455 198
af5491 19C
af54d3 1A0
af5542 1A4
af5570 1A8
af55a0 1AC
af55d0 1B0
af5611 1B4
af5640 1B8
af5646 1BC
af5661 1C0
af567c 1C4
af5682 1EC
af5693 1F0
af56a4 1F4
af56b5 1F8
af56c6 1FC
af56cc 1D8
af56d2 1DC
af56d8 1E0
af56de 1E4
af56e4 1E8
af56ea 1D4

// Funky loop at [mhfo-hd.dll + 0xaf56f0]

af5772 204
af5778 208
af577e 20C
af5784 210
af578a 214
af57b9 218
af57bf 200
af57f2 1C8
af583d 1CC
af5843 1D0
af5849 21C
af584f 220
af5855 224
af584b 228
af5861 22C
af5867 230
af586d 238
af588d 23C
af58aa 248
af58ca 240
af58ea 244
af590a 250
af592a 24C
af594a 254
af596a 258
af5970 25C
af5976 260
af59a1 264
af59a7 268
af59ad 26C
af59b3 AEC
af59b9 B84
af59bf BAC
af59c5 270
af59cb 274
af5a21 278
af5a27 27C
af5a2d 280
af5a33 284
af5a39 288
af5a3f 28C
af5a45 290
af5a4b 294
af5a51 298
af5a57 29C
af5a5d 2A0
af5a63 2B0
af5a69 2B4
af5a6f 2B8
af5a75 2BC
af5a7b 2CC
af5a81 2D0
af5a87 2D4
af5a8d 2D8
af5a93 2DC
af5a99 2E0
af5a9f 2e8
af5aa5 2EC
af5aab 2F0
af5ab1 2A8

af5ae0 2A4
af5ae6 2AC

af5b1b 2C0
af5b21 2C4
af5b27 2C8

af5b6c 2E4
af5b9d 318

af5bd0 324
af5bd6 328
af5bdc 32C
af5be2 2F4
af5be8 2F8
af5bee 2FC
af5bf4 300
af5bfa 304
af5c00 308
af5c06 30C
af5c0c 310
af5c12 314
af5c18 31C
af5c1e 320
af5c24 330
af5c2a 334
af5c30 338
af5c36 33C
af5c3c 340
af5c42 344
af5c48 348
af5c4e 34C
af5c54 350
af5c5a 354
af5c60 358
af5c66 718
af5c6c 908
af5c72 35C
af5c78 360
af5c7e 364
af5c84 368
af5c8a 36C
af5c90 370
af5c96 374
af5c9c 378
af5ca2 37C
af5ca8 380
af5cae 384
af5cb4 388
af5cba 38C
af5cc0 3a0
af5cc6 3a4
af5ccc 390
af5cd2 394
af5cd8 398
af5cde 39C
af5ce4 4FC
af5cea 3A8
af5cf0 3AC
af5cf6 3B0
af5cfc 3B4
af5d02 3B8
af5d08 3BC
af5d0e 3C0
af5d14 3C4
af5d1a 3C8
af5d20 3CC
af5d26 3D0
af5d2c 3D4
af5d32 3D8

af5d60 3DC
af5d90 3E0
af5dc0 3E4
af5df0 3E8
af5e20 3EC
af5e50 3F0
af5e80 3F4
af5eb0 3F8
af5ee0 3FC
af5f10 400
af5f40 404
af5f46 408
af5f71 40C
af5f77 410
af5f7d 414
af5f83 418
af5f89 41C
af5f8f 420
af5f95 424
af5f9b 28
af5fa1 42C
af5fa7 430
af5fad 434
af5fb3 438
af5fb9 43C
af5fbf 440

af5ff0 444
af6020 448
af6050 44C
af6056 450
af605c 454
af6062 458

af6090 45C
af60c0 460
af60f0 464
af6120 468
af6150 46C
af6180 470
af61b0 474

af61e0 478
af61e6 47C
af61ec 480
af61f2 484
af61f8 488
af61fe 48C
af6204 490
af620a 494

af623d 498
af6243 49C
af6249 4A0

af6280 4A4
af6286 4A8
af628C 4AC
af6292 4B0
af6298 4B4
af629e 4CC
af62a4 4D0
af62aa 4D4
af62b0 4D8
af62b6 4DC
af62bc 4E0
af62c2 4E4
af62c8 4BC
af62ce 4C0
af62d4 4B8
af62da 4C4
af62e0 4C8

af6304 4E8
af630a 4EC
af6310 4F0
af6316 4F8
af631c 500
af6322 504
af6328 508
af632e 4F4
af6334 50C

// TODO: Weird loop at [mhfo-hd.dll + 0xaf633a]

af6434 510
af643a 514
af6440 518

af6477 51C
af647d 520

// TODO: Weird loop at [mhfo-hd.dll + 0xaf648b]

af6588 524
af658e 528
af659a 52C

af65ea 530
af65f0 534
af65f6 538
af65fc 53C
af6602 540
af6608 544
af660e 548
af6614 54C
af661a 550

af6640 554
af6646 558
af664c 55C
af6652 560
af6658 564
af665e 568
af6664 56C
af666a 570
af6670 574
af6676 578
af667c 57C
af6682 580
af6688 584
af668e 588
af6694 58C
af669a 590
af66a0 594
af66a6 598
af66ac 59C
af66b2 5A0
af66b8 5A4
af66be 5A8
af66c4 5AC
af66ca 5B0
af66d0 5B4
af66d6 5BC
af66dc 5C0

// TODO: Weird loop at [mhfo-hd.dll + 0xaf66e2]

af67da 5C4
af683c 5C8
af689c 5CC
af68fc 5D0
af695c 5D4
af69bc 5D8
af6a1c 5DC
af6a7c 5E0
af6adc 5E4
af6b3c 5E8
af6b9c 5EC

af6bfc 5f0
af6c02 5f4
af6c08 5f8
af6c0e 5fc
af6c14 600
af6c1a 604
af6c20 608
af6c26 60c
af6c2c 610
af6c32 614

af6c98 618
af6d00 61c

af6d60 620
af6d66 624
af6d6c 628

af6da0 62c
af6da6 630
af6dac 634
af6db2 638
af6db8 63c
af6dbe 640

// TODO: Odd loop at [mhfo-hd.dll + 0xaf6dc4]

af6e7c 644
af6e82 654

af6eab 648
af6eb1 64c
af6eb7 650

// TODO: Odd loop at [mhfo-hd.dll + 0xaf6ebd]

af6f6f 658
af6f75 65c
af6f7b 660
af6f81 664
af6fa8 668
af6fca 66c

af6fec 670
af6ff2 674
af6ff8 678
af6ffe 67c
af7004 680
af700a 684
af7010 688
af7016 68c
af701c 690
af7022 694
af7028 698
af702e 69c
af7034 6a0
af703a 5b8
af7040 6a8
af7046 6ac
af704c 6c4
af7052 6a4
af7058 6b0
af705e 6b4
af7064 6b8
af706a 6bc
af7070 6c0
af7076 6c8
af70bc 6cc
af710a 6d0
af715a 6d4
af71aa 6d8
af71fa 6dc
af724a 6e0
af729a 740
af72ea 744
af733a 748

af738a 6e4
af7390 6e8
af7396 6ec
af739c 6f0

af73d7 6f4
af73dd 6f8
af73e3 6fc
af73e9 700

af740a 704

// Lots of code

af771d 714
af7723 71c
af7729 720
af772f 724
af7735 728
af773b 72c
af7741 730
af7747 734
af774d 738
af7753 73c
af7759 74c
af775f 750
